"Časová pečiatka","Aký je tvoj vek?","Pohlavie","Ako by si zhodnotil tvoje skúsenosti s prezentovaním?","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)"
"2026/04/19 8:04:00 PM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","8","8","9","7","9","6","6","5","6","7","4","6","3","5","5","2","5","3","6","1","5","6","7","5","6","6","6","7","6","7"
"2026/04/19 8:06:53 PM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","8","10","8","10","9","6","6","9","9","9","7","8","5","8","8","5","7","8","8","3","5","8","8","2","7","7","8","8","6","8"
"2026/04/19 8:29:46 PM GMT+2","26-35","Muž","Dlhšie som nikde neprezentoval","8","9","8","8","7","7","6","6","6","6","9","9","9","9","9","6","7","6","7","4","7","6","7","6","6","8","8","8","8","8"
"2026/04/19 8:34:59 PM GMT+2","18-25","Žena","Dlhšie som nikde neprezentoval","10","10","4","9","10","9","9","5","10","10","8","10","4","10","10","7","10","8","10","7","8","10","7","8","10","10","10","6","9","10"
"2026/04/19 8:35:20 PM GMT+2","18-25","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","9","4","6","9","4","5","2","4","7","6","6","2","5","5","3","8","9","9","3","2","5","3","1","3","6","9","8","4","6"
"2026/04/19 8:35:31 PM GMT+2","18-25","Žena","Dlhšie som nikde neprezentoval","7","9","7","10","10","4","5","4","5","7","6","8","4","7","8","2","9","7","2","2","5","8","4","3","4","6","8","5","6","8"
"2026/04/19 8:37:41 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","9","8","7","10","9","9","8","7","8","8","9","9","7","8","9","8","8","8","8","7","7","7","7","6","8","9","9","9","8","8"
"2026/04/19 8:39:57 PM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","8","9","7","9","10","8","7","6","6","8","9","10","7","10","10","7","9","10","8","5","9","10","10","4","9","7","8","9","7","10"
"2026/04/19 8:40:28 PM GMT+2","18-25","Muž","Dlhšie som nikde neprezentoval","5","7","3","10","10","5","3","6","6","9","5","9","2","7","10","3","9","10","8","4","4","7","8","0","7","5","8","10","5","6"
"2026/04/19 8:49:54 PM GMT+2","26-35","Muž","Dlhšie som nikde neprezentoval","9","7","6","10","10","8","8","7","10","10","10","10","10","8","10","3","5","6","2","2","1","0","1","1","1","10","8","10","9","10"
"2026/04/19 9:07:22 PM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","6","4","7","8","7","5","7","6","4","7","3","7","3","4","7","6","8","5","8","4","4","8","7","5","8","5","5","3","5","7"
"2026/04/19 9:07:36 PM GMT+2","18-25","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","6","5","4","3","7","4","3","3","3","5","5","6","4","4","5","3","6","3","5","3","2","6","4","2","6","5","6","5","4","5"
"2026/04/19 9:08:41 PM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","8","7","6","8","9","6","8","5","5","8","7","7","6","6","7","6","8","5","6","3","4","7","5","2","7","7","7","4","2","6"
"2026/04/19 9:15:18 PM GMT+2","18-25","Žena","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","7","6","7","8","1","3","3","4","3","3","3","2","3","2","1","4","2","4","0","1","1","1","0","1","1","4","3","3","2"
"2026/04/19 9:38:17 PM GMT+2","18-25","Muž","Dlhšie som nikde neprezentoval","9","10","9","10","9","7","5","5","6","8","8","9","5","9","9","4","8","7","4","4","6","7","5","4","7","7","9","8","8","9"
"2026/04/19 10:06:53 PM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","7","7","8","8","9","5","6","6","6","7","7","8","7","7","7","4","8","8","6","4","3","5","6","4","4","4","6","7","6","5"
"2026/04/20 12:11:48 AM GMT+2","18-25","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","6","10","8","7","10","5","6","7","7","10","5","7","4","7","10","3","8","6","4","6","5","7","5","4","6","6","8","6","5","9"
"2026/04/20 7:49:55 AM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","9","8","8","10","10","7","7","9","9","9","9","9","8","10","10","8","9","9","8","7","8","9","9","5","8","9","9","9","7","10"
"2026/04/20 2:49:27 PM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","9","10","7","9","10","6","6","5","6","7","7","8","6","6","8","5","8","7","6","3","4","5","7","3","6","5","8","6","4","7"
"2026/04/20 8:36:24 PM GMT+2","18-25","Žena","Dlhšie som nikde neprezentoval","7","5","6","8","9","7","4","4","6","8","8","8","8","9","9","3","4","4","2","2","5","6","7","3","6","6","6","6","5","9"
"2026/04/20 8:50:22 PM GMT+2","18-25","Žena","Prezentovanie je bežná súčasť môjho štúdia alebo práce","4","5","5","5","4","2","3","2","3","4","3","3","2","2","2","1","1","1","1","1","1","2","2","3","2","9","9","9","9","9"
"2026/04/20 9:07:19 PM GMT+2","18-25","Muž","Dlhšie som nikde neprezentoval","8","9","6","10","10","6","5","4","6","8","6","8","5","8","9","3","7","7","6","2","3","7","7","3","3","6","6","9","3","8"
"2026/04/20 9:58:14 PM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","9","8","8","9","9","7","6","8","9","9","6","8","4","9","9","3","8","7","7","1","6","8","8","4","9","8","8","9","6","9"
"2026/04/21 11:30:00 AM GMT+2","26-35","Muž","Prezentujem len výnimočne (škola / práca)","8","10","7","8","10","5","5","4","6","6","7","7","4","8","8","5","10","4","7","4","3","4","3","4","6","5","5","5","3","6"
"2026/04/21 11:42:13 AM GMT+2","26-35","Muž","Prezentujem len výnimočne (škola / práca)","10","10","9","10","10","10","10","8","9","10","9","9","4","10","10","6","9","4","7","2","3","5","5","2","10","2","4","6","2","7"
"2026/04/21 12:22:02 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","10","4","6","7","5","3","5","5","6","4","7","1","3","4","2","7","4","3","0","3","7","5","1","3","4","7","9","2","6"
"2026/04/21 1:02:16 PM GMT+2","36-50","Muž","Prezentujem len výnimočne (škola / práca)","8","7","5","10","9","6","3","5","7","8","8","8","7","9","9","5","8","6","5","2","4","7","5","5","6","6","6","3","2","2"
"2026/04/21 1:02:34 PM GMT+2","26-35","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","9","10","5","10","10","9","10","6","9","9","9","10","10","9","9","6","9","7","6","4","2","5","2","1","1","10","9","7","4","6"
"2026/04/21 1:27:54 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","8","6","9","9","6","5","6","6","8","7","6","7","8","9","4","7","3","7","2","6","7","4","4","7","6","7","3","3","7"
"2026/04/21 1:28:31 PM GMT+2","36-50","Muž","Prezentujem len výnimočne (škola / práca)","7","7","5","7","8","6","5","4","6","8","9","7","8","9","9","5","7","7","9","3","5","5","6","2","6","6","5","6","3","5"
"2026/04/21 1:53:08 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","9","5","8","8","4","6","4","6","6","6","7","5","8","6","6","6","5","5","5","8","8","8","8","8","8","8","8","8","8"
"2026/04/21 2:48:38 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","6","8","3","9","7","6","7","5","6","6","7","7","8","7","7","7","7","6","5","5","7","7","8","6","6","8","8","7","7","8"
"2026/04/21 6:28:40 PM GMT+2","26-35","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","6","3","8","8","3","2","3","3","3","6","7","7","7","8","2","6","5","3","2","4","6","4","3","4","5","5","5","4","5"
"2026/04/21 9:57:34 PM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","7","7","8","8","7","5","6","5","7","6","8","8","7","9","9","5","7","6","6","4","6","7","7","5","5","6","6","6","5","5"
"2026/04/21 10:00:13 PM GMT+2","18-25","Žena","Prezentujem len výnimočne (škola / práca)","7","9","5","8","8","6","7","5","6","6","8","6","9","9","8","4","6","4","5","3","4","4","4","6","6","9","9","8","8","8"
"2026/04/22 6:50:04 AM GMT+2","26-35","Muž","Prezentujem len výnimočne (škola / práca)","7","7","3","5","7","5","3","3","3","5","7","7","6","7","7","5","6","3","3","3","3","4","3","3","5","7","6","3","3","5"
"2026/04/22 7:45:50 AM GMT+2","36-50","Žena","Prezentujem len výnimočne (škola / práca)","7","7","2","7","6","3","3","1","4","3","5","5","4","5","5","4","5","2","5","1","4","4","3","2","3","5","4","3","2","2"
"2026/04/22 8:36:47 AM GMT+2","18-25","Muž","Prezentujem len výnimočne (škola / práca)","7","8","8","8","10","2","1","4","7","10","5","7","3","7","10","4","8","4","5","4","4","8","7","4","8","8","9","8","8","9"
"2026/04/22 10:49:24 AM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","8","6","8","8","7","6","4","7","8","8","8","6","6","7","4","7","6","6","3","3","5","7","6","6","8","7","8","7","7"
"2026/04/22 11:30:34 AM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","8","8","7","9","9","7","6","6","7","8","7","8","6","8","7","7","9","9","8","6","7","7","9","5","9","7","9","8","6","9"
